USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /api/admin/account-approval | METHOD : GET | DATE : 1/8/2026 | TIME : 4:28:05 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /api/admin/users | METHOD : GET | DATE : 1/8/2026 | TIME : 4:28:06 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /api/admin/account-approval | METHOD : GET | DATE : 1/8/2026 | TIME : 4:28:11 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /api/admin/users | METHOD : GET | DATE : 1/8/2026 | TIME : 4:28:15 PM -------------------------------------------------------------------------------------------
USER ID : anonymous | ROLE : N/A | REQUEST FOR : /health | METHOD : GET | DATE : 1/9/2026 | TIME : 9:28:24 PM -------------------------------------------------------------------------------------------
USER ID : anonymous | ROLE : N/A | REQUEST FOR : /favicon.ico | METHOD : GET | DATE : 1/9/2026 | TIME : 9:28:24 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /api/admin/users | METHOD : GET | DATE : 1/9/2026 | TIME : 9:35:25 PM -------------------------------------------------------------------------------------------
USER ID : anonymous | ROLE : N/A | REQUEST FOR : /users | METHOD : GET | DATE : 1/9/2026 | TIME : 9:37:13 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /admin/users | METHOD : GET | DATE : 1/9/2026 | TIME : 9:37:58 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /admin/users | METHOD : GET | DATE : 1/9/2026 | TIME : 9:38:14 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /users | METHOD : GET | DATE : 1/9/2026 | TIME : 9:38:24 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /account-approval | METHOD : GET | DATE : 1/9/2026 | TIME : 9:38:40 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /account-approval | METHOD : GET | DATE : 1/9/2026 | TIME : 9:39:36 PM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /users | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:30 AM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /account-approval | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:32 AM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /users | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:33 AM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /account-approval | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:35 AM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /users | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:36 AM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /account-approval | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:43 AM -------------------------------------------------------------------------------------------
USER ID : 695b3a7e2890932240ab4f18 | ROLE : ADMIN | REQUEST FOR : /users | METHOD : GET | DATE : 1/10/2026 | TIME : 9:11:45 AM -------------------------------------------------------------------------------------------
